Name of Institution,Affiliation Number,State,District,Postal Address,Pin Code,Website,Year of Foundation,Date of First Opening of School,Name of Principal/ Head of Institution,Gender,Principal's Educational/Professional Qualifications:,No of Experience (in Years):,Administrative:,Teaching:,Status of The School,Type of affiliation,Affiliation Period,Name of Trust/ Society/ Managing Committee,"Remarks, if any"
NOBLE HEART SCHOOL,1630751,PUNJAB,RUPNAGAR,"SIVALK VIHAR BLOCK -D,OPP. POLICE STATION ,NAYA GAON , SAS NAGER (MOHALI) PUNJAB",160103,,1999,29 Mar 1998,JYOTI,,M.A. / B.Ed.,,1,6,Secondary Level,,"From :
                                01/04/2025  
                                 To :
                                31/03/2030",Noble Soul Educational Socity,
AC GLOBAL SCHOOL,1630752,PUNJAB,SAS NAGAR,"HULKA ROAD, BANUR, SAS NAGAR",140601,http://acews.in/,2010,05 Apr 2010,JATINDER SINGH,Male,"M.A,  B.P.ED",,7,11,Secondary Level,,"From :
                                01/04/2025  
                                 To :
                                31/03/2030",A C Educational Welfare Society,
BABA ISHER SINGH (N) SR. SEC. PUBLIC SCHOOL,1630753,PUNJAB,LUDHIANA,"D-BLOCK, BRS NAGAR, LUDHIANA",141001,,1987,08 Apr 1987,JINNY TALWAR,,"M.Phil ,B.ED",,2,5,Senior Secondary Level,,"From :
                                 01/04/2025 
                                 To :
                                 31/03/2030",Baba Isher Singh (N) Charitable Education Trust,
SIR MARSHAL CONVENT SCHOOL,1630754,PUNJAB,HOSHIARPUR,"VILLAGE  BHALIALA, PO HARIANA, JANAURI ROAD, HOSHIARPUR",144208,,2008,01 Mar 2008,RAMANDEEP SINGH,Male,"M.A B.ED , M.SC IT",,5,6,Senior Secondary Level,,"From :
                                 01/04/2023 
                                 To :
                                 31/03/2028",Sir Marshal Educational Society,
"SRI GURU HAKRISHAN PUBLIC SCHOOL,",1630755,PUNJAB,AMRITSAR,"VILLAGE NAWAN PIND
TEHSIL AJNALA VIA CHETANPURA",143001,http://www.chiefkhalsadiwan.com,1996,22 Feb 1996,JASMINE KAUR,,"M.A, B.ED",,07,07,Senior Secondary Level,,"From :
                                 01/04/2025 
                                 To :
                                 31/03/2030",Chief Khalsa Diwan,
SAHIBZADA ZORAWAR SINGH PUBLIC SCHOOL,1630756,PUNJAB,KAPURTHALA,SAHIBZADA ZORAWAR SINGH PUBLIC SCHOOL,144624,http://www.szsps.org,2008,,Parminder Kaur,Male,M.Sc Chemistry,,3,12,Senior Secondary Level,,"From :
                                 01/04/2024 
                                 To :
                                 31/03/2029",,
NAV CHETAN SCHOOL,1630757,PUNJAB,GURDASPUR,"VILL. KHARA. PO.QADIAN,DSTT-GURDASPUR,PUNJAB",143516,,2008,24 Mar 2008,Rashpal Kaur,Male,MA B.ED,,15,14,Secondary Level,,"From :
                                01/04/2025  
                                 To :
                                31/03/2030",Baba Mihan Singh Charitable Edu. Society,
I.T NEXT GEN SCHOOL,1630758,PUNJAB,PATHANKOT,"VILL SHARIFCHAK, NEAR KIRI KHURD BUS STAND, TEHSIL PATHANKOT",145025,www.itngschool.com,2010,05 Apr 2011,NEETA KUMARI,Male,B.sc B.ed,,10,15,Senior Secondary Level,,"From :
                                 01/04/2024 
                                 To :
                                 31/03/2029",Iflex Technologies & Educational Society,
WHEAT FIELDS PUBLIC SCHOOL,1630759,PUNJAB,BATHINDA,"WHEAT FIELDS PUBLIC SCHOOL,BADAL ROAD, V.P.O-GHUDDA, DISTRICT & TEHSIL-BHATINDA",151001,www.wheatfields.com,2008,01 Apr 2008,Prabhjot Kaur Lakhe Sar,Male,BA B.ED,,6,7,Secondary Level,,"From :
                                01/04/2025  
                                 To :
                                31/03/2030",Wheat Fields Educational Society,
DIPS SCHOOL,1630760,PUNJAB,AMRITSAR,"JALANDHAR ROAD,
CHOWK MEHTA, AMRITSAR",143114,http://www.dipsmehtachowk.com,2010,,PANKAJ CHOPRA,Male,"M.Com., B.Ed. UGC-NET",,18,25,Senior Secondary Level,,"From :
                                 01/04/2024 
                                 To :
                                 31/03/2029",,
AKAL ACADEMY,1630761,PUNJAB,JALANDHAR,"VILLAGE DHANAL KALAN , P.O. PHOOLPUR , DISTRICT JALANDHAR",144026,http://WWW.AKALACADEMY.IN,2008,01 Apr 2008,Amandeep Kaur,Female,"M.A., B.Ed.",,12,22,Senior Secondary Level,,"From :
                                 01/04/2023 
                                 To :
                                 31/03/2028",The Kalgidhar Trust,
ST. XAVIERS INTERNATIONAL SCHOOL,1630762,PUNJAB,PATIALA,"VILLAGE ATTALAN, SAMANA-PATRAN ROAD,PATIALA",147102,,2006,03 Jan 2006,JAVINDER KAUR,Male,"MA, B.ED",,1,9,Senior Secondary Level,,"From :
                                 01/04/2022 
                                 To :
                                 31/03/2027",Jenia Educational Society,
ST.GDS CONVENT SCHOOL,1630763,PUNJAB,LUDHIANA,"PRIYA COLONY, RAHON ROAD, LUDHIANA",141007,http://www.gdsschool.com,2008,01 Apr 2008,MANKAWAL KAUR DUGGAL,Male,"M.A ,B.Ed",,5,15,Senior Secondary Level,,"From :
                                 01/04/2022 
                                 To :
                                 31/03/2027",The Sukrit Foundation,
POLICE PUBLIC SCHOOL,1630764,PUNJAB,MANSA,"POLICE LINES, MANSA, PUNJAB",151505,,2010,,Manmohan Singh,,B.F.A. MA,,1,17,Senior Secondary Level,,"From :
                                 01/04/2020 
                                 To :
                                 31/03/2025",,
GURU GOBIND SINGH PUBLIC SCHOOL,1630765,PUNJAB,FARIDKOT,"GANGSAR-JAITO, DISTT. FARIDKOT, PUNJAB",151202,,2008,06 Apr 2008,RAJWINDER KAUR DHILLON,Female,"MPHILL,PHD",,26,25,Senior Secondary Level,,"From :
                                 01/04/2025 
                                 To :
                                 31/03/2030","Shiromani Gurdwara Parbandhak Committee, Sri Amritsar",
GMT INTERNATIONAL PUBLIC SCHOOL,1630766,PUNJAB,LUDHIANA,"KAKOWAL ROAD, NEAR VENUS GARMENT FACTORY, LUDHIANA",141007,http://www.gmtinternationalschool.com,2011,04 Apr 2012,AMARJIT DHALIWAL,Male,MA BED,,20,20,Senior Secondary Level,,"From :
                                 01/04/2023 
                                 To :
                                 31/03/2028",GMG PROFESSIONAL AND HIGHER EDUCATIONAL CHARITABLE SOCIETY,
SUN VALLEY INTERNATIONAL SCHOOL,1630767,PUNJAB,HOSHIARPUR,"V.P.O KATHE, CHAKKOWAL MAIN ROAD SHAM CHAURASI, HOSHIARPUR, PUNJAB",144105,http://www.sunvalleyinternational.org,2011,01 Apr 2011,Jaspal Kaur,Female,M.A B.ED,,20,8,Senior Secondary Level,,"From :
                                 01/04/2023 
                                 To :
                                 31/03/2029",Gyan Ganga Educational Society,
BKJS APPLE ORCHARD SCHOOL,1630768,PUNJAB,KAPURTHALA,CHAHAL NAGAR,144401,http://www.bkjappleorchard.com,2010,01 Apr 2009,Inderjeet Kaur,Female,MA B.ed,,13,19,Secondary Level,,"From :
                                01/04/2021  
                                 To :
                                31/03/2026",Bhai khanahia Ji Chartable organisation,
ATAM VIDYA MANDIR SCHOOL,1630769,PUNJAB,LUDHIANA,"KANECH CHOWK
GURU GOBIND SINGH MARG
G.T ROAD",141120,,2008,16 Mar 2008,ANJU BALA,Female,"M.A. English,B.Ed.",,08,19,Senior Secondary Level,,"From :
                                 01/04/2023 
                                 To :
                                 31/03/2028","ATAM PUBLIC SENIOR SECONDARY SCHOOL,LUDHIANA",
GARDEN VALLEY INTERNATIONAL SCHOOL,1630770,PUNJAB,RUPNAGAR,"VILLAGE BELA, ROPAR,PUNJAB",140111,http://www.gvismachhiwara.in,2011,01 Apr 2011,GURDEEP KAUR,Female,MA Bed,,16,9,Senior Secondary Level,,"From :
                                 01/04/2023 
                                 To :
                                 31/03/2028",SARV JAN SEWA EDUCATIONAL SOCIETY,
THE RENAISSANCE SCHOOL,1630771,PUNJAB,RUPNAGAR,"MAIN ROAD
BHANOPLI
TEHSIL NANGAL DISTT ROPAR",140133,http://www.renaissanceschool.co.in,2010,01 Apr 2010,CHANDNI SHARMA,Male,M.A. B.Ed.,,15,15,Senior Secondary Level,,"From :
                                 01/04/2021 
                                 To :
                                 31/03/2026",GANGA RAM MEMORIAL EDUCATION AND CHARITABLE TRUST,
OASIS PUBLIC SCHOOL,1630772,PUNJAB,SANGRUR,"OPP. KUKA MEMORIAL, KHANNA ROAD, MALERKOTLA",148023,www.oasispublicschool.in,2010,02 Apr 2010,Rifhat Wahab,,"M.PHIL,B.ED",,11,18,Senior Secondary Level,,"From :
                                 01/04/2023 
                                 To :
                                 31/03/2028",Ch. Umerdin Memorial Education Trust Regd.,
BRIGHT LAND SCHOOL,1630773,PUNJAB,AMRITSAR,"VILLAGE PANDORI WARIACH, MAJITHA ROAD, AMRITSAR",143008,,2003,07 Apr 2003,Harsh Thukral,Male,B.A. B.Ed,,20,18,Senior Secondary Level,,"From :
                                 01/04/2023 
                                 To :
                                 31/03/2028",Maa Saraswati Educational Society,
BHARTIYA VIDYA MANDIR SR. SEC. SCHOOL,1630774,PUNJAB,LUDHIANA,"SHAHEED UDHAM SINGH NAGAR, LUDHIANA",141001,,1968,02 Apr 1971,Mrs.Seema Gupta,Female,"M.A , M.SC. M.PHIL, B.ED",,0,20,Senior Secondary Level,,"From :
                                 01/04/2021 
                                 To :
                                 31/03/2026",Bhartiya Vidya Mandir Trust,
MAX ARTHUR MACAULIFFE PUBLIC SCHOOL,1630775,PUNJAB,LUDHIANA,VILL BONDLI CHANIDGARH ROAD SAMRALA,141114,,2003,01 Mar 2001,Monica,,"M.A Eng., M.A. Soc., B.Ed., M. Ed., C.T.E. Ph.D.",,11,15,Senior Secondary Level,,"From :
                                 01/04/2023 
                                 To :
                                 31/03/2028",S. Jagir Singh Charitable trus MAM Public School,
VARDHMAN INTERNATIONAL PUBLIC SCHOOL,1630776,PUNJAB,LUDHIANA,"AKME TOWNSHIP, VILL JANDIALI, CHANDIGARH ROAD. LUDHIANA.",141003,http://www.vipsldh.com,2011,07 Apr 2011,Anima Jain,Female,"M.Sc , M.Phil , P.hd , B.Ed",,31,31,Senior Secondary Level,,"From :
                                 01/04/2024 
                                 To :
                                 31/03/2029",Mata Budda Devi Jain Educational Society (Regd).,
MATA SUNDRI PUBLIC SCHOOL,1630777,PUNJAB,BATHINDA,"KOT SHAMIR, BATHINDA",151001,,2008,06 Apr 2008,MANORAMA SAMAG,Female,"B.A B.ED , M.A, M.ED, M.PHIL, P.HD",,2,25,Secondary Level,,"From :
                                01/04/2021  
                                 To :
                                31/03/2026","S.G.P.C, SRI AMRITSAR",
SANT ATTAR SINGH AKAL ACADEMY,1630778,PUNJAB,SANGRUR,POST OFFICE MASTUANA SAHIB,148001,,2010,01 Apr 2010,VIJAY PLAHA,,M.Sc. B.Ed.,,10,25,Senior Secondary Level,,"From :
                                 01/04/2023 
                                 To :
                                 31/03/2028",Governing Body of Sant Attar Singh Academy Gursagar Mastuana Sahib Distt. Sangrur,
ST. THOMAS SCHOOL,1630779,PUNJAB,SANGRUR,"BAKHOPIR ROAD, BHAWANIGARH",148126,,2008,01 Apr 2008,Ramandeep Kaur Kohli,,M.A M.ED,,5,10,Secondary Level,,"From :
                                01/04/2021  
                                 To :
                                31/03/2026",Gursimran Eduational Society,
LAWRENCE INTERNATIONAL CONVENT SCHOOL,1630780,PUNJAB,MOGA,"MANDEERAN WALA ROAD
BAGHA PURANA
DISTT. MOGA (PUNJAB)",142038,www.lawrenceconventschool.com,2011,,Jeenam,Male,"M.SC ,B.ED",,10,13,Senior Secondary Level,,"From :
                                 01/04/2025 
                                 To :
                                 31/03/2030",,
STS WORLD SCHOOL,1630781,PUNJAB,JALANDHAR,"VILL. RAJGOMAL, P.O RURKA KALAN TEH. PHILLAUR DISTT. JALANDHAR PUNJAB",144031,,2011,04 Apr 2011,PRABHJOT GILL,,M.Sc. M.Phil. B.Ed,,13,20,Senior Secondary Level,,"From :
                                 01/04/2024 
                                 To :
                                 31/03/2029",Sant Gurmail Singh Educational and Medical Society V.P.O Dhesian Kanha Teh. Phillaur Distt Jalandhar,
GURU SAGAR PUBLIC SCHOOL,1630782,PUNJAB,AMRITSAR,"NEAR MAHADIPUR CHOWK, VIA CHATENPURA SANGATPURA ROAD, POST OFFICE KOTLA GUJRAN.PANDHER",143606,www.gspspandher.org,2008,01 Apr 2008,K T JOHN,Male,"M.Com ,B. Ed",,03,06,Senior Secondary Level,,"From :
                                 01/04/2025 
                                 To :
                                 31/03/2030",CHIRRAG CHARITABLE SOCIETY,
APRAJITA INTERNATIONAL CO.ED SCHOOL,1630783,PUNJAB,HOSHIARPUR,VPO BHATER TEHSIL MUKERIAN DISTT HOSHIARPUR,144224,http://www.aprajitaeducationalgroup.org,2005,03 Feb 2008,Nand kishor Sharma,Male,"MA , B.Ed",,15,16,Secondary Level,,"From :
                                01/04/2021  
                                 To :
                                31/03/2026",APRAJITA CHARITABLE TRUST,
GURU NANAK DEV GLOBAL ACADEMY,1630784,PUNJAB,AMRITSAR,"VPO-CHANANKE, ADDA-NATH DI KHUHI, DISTT.AMRITSAR",143114,http://www.gndga.com,2008,01 Apr 2008,RITU KHANEJA,,"M.A,B.Ed",,10,20,Senior Secondary Level,,"From :
                                 01/04/2023 
                                 To :
                                 31/03/2028",Guru Nanak Educational Society,
G.T.B. PUBLIC SCHOOL,1630785,PUNJAB,FEROZEPUR,"GURU HAR SAHAI MUKATSAR ROAD, NEW MODAL TOWN",152022,,1992,01 Apr 2008,PARTAP SINGH,,M.A. B.ED.,,28,28,Senior Secondary Level,,"From :
                                 01/04/2021 
                                 To :
                                 31/03/2026",Guru Teg Bahadur Education Society Guru Har Sahai,
RADCLIFFE SCHOOL,1630786,PUNJAB,BATHINDA,"287-288, BATHINDA-BADAL MAIN ROAD, NEAR NARUANA VILLAGE, BATHINDA.",151001,http://www.radcliffe.in,2010,08 Feb 2010,YOGESH DUGGAL,,"M.A, B.ED",,18,10,Secondary Level,,"From :
                                01/04/2021  
                                 To :
                                31/03/2026",RADCLIFFE FOUNDATION PUNJAB,
TAGORE INTERNATIONAL SCHOOL,1630787,PUNJAB,PATIALA,VILLAGE AKBARPUR (AFGANA) PATIALA,147111,http://www.tagoreschool.in,2005,01 Apr 2005,REKHA SHARMA,Male,MA. B.ED,,15,20,Senior Secondary Level,,"From :
                                 01/04/2022 
                                 To :
                                 31/03/2027",TAGORE EDUCATIONAL CHARITABLE SOCIETY,
BABA SHRI CHAND PUBLIC SCHOOL,1630788,PUNJAB,LUDHIANA,"BABA SHRI CHAND PUBLIC SCHOOL ,NURPURA P.O HALWARA TEH. RAEKOT DISTT . LUDHIANA",141107,,2004,04 Apr 2004,Gurjinder Kaur,,"M.A.  English , B.Ed.",,4,13,Senior Secondary Level,,"From :
                                 01/04/2024 
                                 To :
                                 31/03/2029","Shri Udasin Acharya Baba Shri Chand Educational Society,Village Nurpura, Teh Raekot, Distt Ludhiana",
P.S.T MEMORIAL PUBLIC SCHOOL,1630789,PUNJAB,FARIDKOT,"V.P.O- GHUDUWALA, TEHSIL- SADIQ, DISTRICT- FARIDKOT, PUNJAB",151203,http://www.pstschool.com,2009,16 Apr 2009,JOGINDER SINGH,Male,M.Sc. B.Ed.,,11,15,Senior Secondary Level,,"From :
                                 01/04/2021 
                                 To :
                                 31/03/2026",SATGURU RAM SINGH SATSANG CHARITABLE SOCIETY (REGD),
PEARLS INTERNATIONAL SCHOOL,1630790,PUNJAB,HOSHIARPUR,"VILL. BHALLOWAL, HAJIPUR MUKERIAN ROAD, HOSHIARPUR, PUNJAB",144221,,2010,18 Apr 2010,MEENA KUMARI,Male,MA BED,,12,7,Senior Secondary Level,,"From :
                                 01/04/2023 
                                 To :
                                 31/03/2028",SRI GURU RAM DASS EDUCATIONAL SOCIETY,
BABA ISHER SINGH BABA KUNDAN SINGH (NANAKSAR) PUBLIC SCHOOL,1630791,PUNJAB,LUDHIANA,"VILLAGE & P/O JHORARAN TEHSIL RAIKOT, DISTRICT LUDHIANA",142032,,2010,04 Apr 2010,Palwinder Singh Cheema,Male,"M.Sc, B.Ed",,11,4,Senior Secondary Level,,"From :
                                 01/04/2023 
                                 To :
                                 31/03/2028",Baba Isher Singh (Nanaksar) Charitable Education Trust,
GEMS CAMBRIDGE INTERNATIONAL SCHOOL,1630792,PUNJAB,GURDASPUR,"VILLAGE SHAHAPURA, AMRITSAR ROAD, TEH. BATALA, GURDASPUR",143505,,2011,01 Apr 2011,CHARU SINGH PANNU,,MA B.ED,,4,18,Senior Secondary Level,,"From :
                                 01/04/2024 
                                 To :
                                 31/03/2029",RP Educational Society,
M.G. CONVENT SCHOOL,1630794,PUNJAB,MOGA,"BARNALA ROAD
NEAR BABA MALLO SHAHEED GURUDWARA",142039,http://www.mgconvent.org,2011,,RAJIV GULERIA,Male,"M.Sc. Biology, B.Ed.",,05,17,Senior Secondary Level,,"From :
                                 01/04/2024 
                                 To :
                                 31/03/2029",,
AKAL ACADEMY,1630795,PUNJAB,MOGA,"VPO KALEKE, TEHSIL BAGHAPURANA, DISTT. MONGA",142001,,2007,07 Apr 2007,Seema,Female,"M.Sc. Mathematics, B.Ed",,11,5,Senior Secondary Level,,"From :
                                 01/04/2023 
                                 To :
                                 31/03/2028",Kalgidhar Society,
PUNJAB PUBLIC SCHOOL,1630796,PUNJAB,FEROZEPUR,"VILL : NATHE SHAH WALA,
P.O. KHAI PHEME KI, DISTT FEROZEPUR, PUNJAB",152003,,1997,01 Apr 2008,KULDIP SINGH,Male,MA- B ED,,25,25,Senior Secondary Level,,"From :
                                 01/04/2021 
                                 To :
                                 31/03/2026",THE BABA KARTAR SINGH MEMORIAL RURAL EDUCATION SOCIETY NATHE SHAH WALA FEROZEPUR PB,
J.N. INTERNATIONAL SCHOOL,1630797,PUNJAB,FEROZEPUR,"FF ROAD, VILLAGE SAIDE KE MOHAN, NEAR JIWNA ARIAN, DISTT. FEROZEPUR",152024,,2008,13 Mar 2008,RAVINDER KUMAR,,"M.A EDU.,M.A ENG. ,B.Ed.",,12,14,Senior Secondary Level,,"From :
                                 01/04/2024 
                                 To :
                                 31/03/2029",J.N. EDUCATIONAL SOCIETY,
GOLDEN ERA SCHOOL,1630798,PUNJAB,PATIALA,"BHADSON-PATIALA ROAD, VILLAGE DITTUPUR JATTAN, NABHA PATIALA",147202,http://www.goldeneraschool.co.in,2011,01 Apr 2011,SUMEERA SHARMA,Male,M.Sc Chemistry B.Ed,,1,13,Senior Secondary Level,,"From :
                                 01/04/2022 
                                 To :
                                 31/03/2027",SACRED CADRE EDUCATIONAL AND CHARITABLE TRUST PATIALA,
SRI GURU HARKRISHAN PUBLIC SCHOOL,1630799,PUNJAB,TARN TARAN,"BURJ MARHANA, VIA SARHALI, NEAR HARIKE, DISTT TARANTARAN, PUNJAB",143410,http://www.sghpsbm.com,1993,01 May 1993,Ranjit Bhatia,Male,"M.sc Zoology ,B.Ed",,10,15,Senior Secondary Level,,"From :
                                 01/04/2021 
                                 To :
                                 31/03/2026",CHIEF KHALSA DIWAN CHARITABLE SOCIETY,
MAJOR AJAIB SINGH CONVENT SCHOOL,1630800,PUNJAB,FARIDKOT,V.P.O. JEONWALA KOTKAPURA FARIDKOT,151207,,2011,01 Apr 2011,Sukhchain Singh Brar,Female,"M.A, D.Litt.",,13,13,Senior Secondary Level,,"From :
                                 01/04/2023 
                                 To :
                                 31/03/2028","MAJOR AJAIB SINGH EDUCATIONAL AND SOCIAL SERVICE SOCIETY, JIWANWALA, DISTRICT FARIDKOT",
RHEMA INTERNATIONAL SCHOOL,1630801,PUNJAB,GURDASPUR,"BEERSHEBA COMPLEX, MISSION ROAD PATHANKOT",145001,http://www.iet.org,2005,02 Apr 2005,Benny Oommen,,"M.Sc, MBE, BEd",,7,17,Senior Secondary Level,,"From :
                                 01/04/2023 
                                 To :
                                 31/03/2028",Indian Evangelical Team,
SHRI GURU RAM RAI PUBLIC SCHOOL,1630802,PUNJAB,LUDHIANA,"NEW SHIVPURI ROAD, SEKHEWL, LUDHIANA, PUNJAB",141007,,1990,01 Apr 1990,INDERJEET SINGH NEGI,Male,M.Sc,,15,20,Senior Secondary Level,,"From :
                                 01/04/2023 
                                 To :
                                 31/03/2028","Shri guru Ram Rai Edu. Mission,Managing Committee",
"THE INDO BRITISH SCHOOL,NABHA",1630803,PUNJAB,PATIALA,"NEAR.BHART MARBLES,PATIALA ROAD, NABHA",147201,www.indobritishschool.org,2010,01 Apr 2010,Anu Batish,Male,"M.Com, B.Ed",,10,23,Senior Secondary Level,,"From :
                                 01/04/2024 
                                 To :
                                 31/03/2029",The Indo-British Education Society,
ASHOK VATIKA PUBLIC SCHOOL,1630804,PUNJAB,AMRITSAR,"FOUR FIELDS AVENUE, G.T.ROAD",143001,,1995,09 Apr 1995,Anchal Mahajan,,"M.A, B.ed",,20,8,Senior Secondary Level,,"From :
                                 01/04/2023 
                                 To :
                                 31/03/2028",Ashok Vatika Educational Trust,
"BABA AAPO AAP GURU NANAK PUBLIC SCHOOL,",1630805,PUNJAB,PATIALA,"CHHINTANWALA MANSOORPUR, NABHA PATIALA PUNJAB",147201,,2012,09 Apr 2012,SANDEEP SHARMA,Male,"M.Sc ,B.Ed",,13,19,Senior Secondary Level,,"From :
                                 01/04/2023 
                                 To :
                                 31/03/2028",Aapo Aap Educational Society,
HOLY ANGEL CONVENT SCHOOL,1630806,PUNJAB,TARN TARAN,VILLAGE BATH TEHSIL & DISTT. TARN TARAN,143401,hacbathtarntaran.org,2007,01 Apr 2007,Ravinder  Kaur,Male,"M.A. , M.Ed.",,8,10,Senior Secondary Level,,"From :
                                 01/04/2024 
                                 To :
                                 31/03/2029",Holy Angel Convent Educational Society,
SPRING FIELD INTERNATIONAL SCHOOL,1630807,PUNJAB,GURDASPUR,"VILLAGE AUJLA , BYE PASS , GURDASPUR",143521,,2010,01 Apr 2010,RAJNI SHARMA,Female,M.A/B.Ed,,14,14,Secondary Level,,"From :
                                01/04/2021  
                                 To :
                                31/03/2026",Guru Ram Dass Educational Foundation,
THE MILLENNIUM SCHOOL,1630808,PUNJAB,PATIALA,"VILLAGE NANDPUR KESHON, SIRHIND ROAD, PATIALA, PUNJAB",147001,http://www.themillenniumschools.com,2011,01 Apr 2011,Ms. Harpreet Kaur Pandher,Female,"MA English, B.Ed",,10,19,Senior Secondary Level,,"From :
                                 01/04/2024 
                                 To :
                                 31/03/2029",Sri Satya Sai Educational Trust,
THE GLADIOLUS SCHOOL,1630809,PUNJAB,SRI MUKTSAR SAHIB,"4TH MILESTONE, BATHINDA ROAD, SRI MUKTSAR SAHIB ,POST BOX NO-7",152026,http://www.thegladiolus.com,2011,01 Apr 2012,Veena Rani,,"M.A English, History, B.ed",,15,10,Senior Secondary Level,,"From :
                                 01/04/2023 
                                 To :
                                 31/03/2028",SOCIETY FOR THE FUTURE GENERATIONS,
SRI GURU HARKRISHAN PUBLIC SCHOOL,1630810,PUNJAB,TARN TARAN,"VILLAGE PIDDI, TARNTARAN",143401,http://www.sghpspiddi.com,1997,01 Apr 1999,SARABJIT KAUR,,"M.A., M.ED",,13,25,Secondary Level,,"From :
                                01/04/2021  
                                 To :
                                31/03/2026",CHIEF KHALSA DIWAN CHARITABLE SOCIETY,
DELHI PUBLIC SCHOOL GURDASPUR,1630811,PUNJAB,GURDASPUR,"BEHRAMPUR ROAD, GURDASPUR",143521,,2012,04 Apr 2012,KARAMJOT KAUR,,"M.Sc.,B.Ed.",,8,15,Senior Secondary Level,,"From :
                                 01/04/2024 
                                 To :
                                 31/03/2029",Wonderland Public School Society,
SHAHEED BABA DEEP SINGH PUBLIC SCHOOL,1630812,PUNJAB,TARN TARAN,"VPO PAHUWIND,
DISTT.TARN TARAN",143303,www.sbdspublicschool.org,2006,01 Jun 2006,Maria Goretti,Male,"MA, B.ED",,8,8,Senior Secondary Level,,"From :
                                 01/04/2024 
                                 To :
                                 31/03/2029",Shaheed Baba Deep Singh Educational Society,
SD SARVHITKARI VIDYA MANDIR(SR.SEC.) TALWARA,1630813,PUNJAB,HOSHIARPUR,TALWARA HOSHIARPUR,144216,http://www.svmtalwara.net,1985,10 Apr 1985,Pawan Gill,,"MSc. Chemistry, MA English. B.Ed",,5,20,Senior Secondary Level,,"From :
                                 01/04/2021 
                                 To :
                                 31/03/2026",Sanatan Dharam Sarvhitkari Vidya Mandir Society,
SRI GURU HARKRISHAN PUBLIC SCHOOL,1630814,PUNJAB,LUDHIANA,"MODEL TOWN EXTENSION-D, DUGRI ROAD",141002,,1986,01 Apr 1986,Navneet Kaur,Female,"M.A,B.Ed, PhD",,9,26,Senior Secondary Level,,"From :
                                 01/04/2021 
                                 To :
                                 31/03/2026",Chief Khalsa Diwan Asr,
AKAL SAHAI ACADEMY,1630815,PUNJAB,SANGRUR,"VILL: BHUTAL KALAN,SUNAM, LEHRAGARA, SANGRUR PUNJAB",148031,,2004,13 Feb 2004,RAJNI RANI,,"M.A.,B.ED.,M.ED,",,12,15,Secondary Level,,"From :
                                01/04/2021  
                                 To :
                                31/03/2026",Puri Medical Institute Research Education Technology,
THE MILLENNIUM SCHOOL,1630816,PUNJAB,BATHINDA,"ANSALS MITTAL TOWNSHIP, SUSHANT CITY-I, MANSA ROAD, KOTSHAMIR",151001,http://www.themillenniumschools.com,2010,01 Apr 2011,SANGEETA SAXENA,,"MA, BA, B.Ed",,9,16,Senior Secondary Level,,"From :
                                 01/04/2023 
                                 To :
                                 31/03/2028",Shri Radhe Education Trust,
GOD BLESSING PUBLIC SCHOOL,1630817,PUNJAB,PATIALA,"NEAR SHAKTI NAGAR, DHARMGARH ROAD, LALRU MANDI, TEH: DERA BASSI, DISTRICT: AJITGARH, PUNJAB",140501,,2011,24 Mar 2011,SONIA BHATIA,Female,M.A B.ED,,9,15,Senior Secondary Level,,"From :
                                 01/04/2023 
                                 To :
                                 31/03/2028",Pandit Laxman Dutt Memorial Educational and Charitable Trust,
LDSS PLASMA SCHOOL,1630818,PUNJAB,GURDASPUR,"SHASTRI NAGAR-CIVIL HOSPITAL CIRCULAR ROAD, PATHANKOT",145001,,2006,03 Apr 2006,Renu Rampal,Female,"MA, Bed",,15,26,Secondary Level,,"From :
                                01/04/2021  
                                 To :
                                31/03/2026","LEELA DEVI SADHU SINGH PLAZMA HOUSE OF LEARNING WELFARE SOCIETY ,V.RARA, TEH -PATHANKOT",
"SARVHITKARI VIDYA MANDIR (SENIOR SECONDARY),",1630819,PUNJAB,SANGRUR,VILLAGE DHURA (DHURI)SANGRUR,148024,,1980,01 Apr 1983,SANTOSH KUMAR,,"M. A. , B. ED",,11,16,Senior Secondary Level,,"From :
                                 01/04/2021 
                                 To :
                                 31/03/2026","Sarvhitkari Educational Society, Chandigarh",
SHAHEED UDHAM SINGH PUBLIC SCHOOL,1630820,PUNJAB,JALANDHAR,"LOHIAN KHAS , JALANDHAR",144629,,2010,01 Apr 2010,MONICA,,M.A English,,10,15,Secondary Level,,"From :
                                01/04/2021  
                                 To :
                                31/03/2029","SHAHEED UDHAM SINGH EDUCATIONAL & SOCIAL WELFARE SOCIETY WARD No1 LOHIAN KHAS , DISTRICT JALANDHAR",
PUNJAB CONVENT SCHOOL,1630821,PUNJAB,SANGRUR,"VPO MEHLLAN, TEHSIL SUNAM, DISTT SANGRUR, PUNJAB",148001,http://www.pcsmehlan.com,1998,01 Jul 1998,PARMJIT KAUR,Male,M.A B.ed,,24,24,Senior Secondary Level,,"From :
                                 01/04/2022 
                                 To :
                                 31/03/2027","PUNJAB CONVENT SCHOOL EDUCATION SOCIETY, MEHLAN",
